0	4294	2	0
1	4286	8	0
2	461	3825	0
3	455	6	3
4	452	3	5
5	450	3818	9
6	385	69	9
7	380	5	14
8	351	34	15
9	350	2	15
10	340	12	15
11	323	17	16
12	322	3818	18
13	312	3819	19
14	311	3822	20
15	310	3818	20
16	248	3104	20
17	247	3798	20
18	244	3	20
19	243	3806	20
20	242	3810	20
21	241	5	20
22	239	2	20
23	238	3809	20
24	237	3819	22
25	236	3818	22
26	232	5	23
27	231	1	25
28	230	3819	25
29	229	3819	26
30	228	3816	26
31	227	3820	26
32	226	3744	26
33	225	3820	26
34	224	3817	26
35	218	3822	26
36	217	3818	26
37	216	3818	26
38	215	3809	26
39	212	3	26
40	211	3819	26
41	210	33	26
42	209	3819	26
43	207	2999	26
44	205	2	26
45	204	3819	26
46	203	3808	26
47	200	3	26
48	199	1	26
49	198	3818	26
50	197	33	26
51	194	5	26
52	193	3816	26
53	192	3813	26
54	191	17	26
55	190	3815	26
56	189	2962	26
57	188	3056	26
58	187	3815	26
59	186	3819	26
60	185	3812	26
61	184	5	26
62	181	3	26
63	180	3819	26
64	179	3819	26
65	178	3819	26
66	175	3	26
67	174	3149	26
68	173	2994	26
69	172	3819	26
70	171	3810	26
71	170	3	26
72	169	3813	26
73	168	3815	26
74	167	3811	26
75	166	1	26
76	165	3787	26
77	164	3819	26
78	161	3	26
79	160	3818	26
80	159	3817	26
81	158	3809	26
82	157	3819	26
83	156	3807	26
84	155	3819	26
85	154	3815	26
86	153	3054	26
87	152	3819	26
88	151	1	26
89	150	3818	26
90	149	3807	26
91	148	3819	26
92	147	3820	26
93	146	3818	26
94	145	3808	26
95	144	3811	26
96	143	3813	26
97	142	3811	26
98	141	3820	26
99	140	3793	26
100	138	3817	26
101	137	3820	26
102	136	81	26
103	135	33	26
104	134	3819	26
105	133	3818	26
106	132	2985	26
107	131	3811	26
108	130	3819	27
109	129	3820	27
110	128	3812	27
111	127	1	27
112	126	3809	27
113	125	3819	27
114	124	4	27
115	123	3806	27
116	122	2	27
117	121	3810	27
118	120	3818	27
119	119	3814	27
120	118	1	27
121	117	3814	27
122	116	3819	27
123	115	3815	27
124	114	3759	27
125	113	3815	27
126	112	3818	27
127	111	3820	27
128	110	3809	27
129	109	1	27
130	108	3820	27
131	107	3782	27
132	106	3806	27
133	105	3818	27
134	104	3811	27
135	102	2	27
136	101	3817	27
137	100	3801	27
138	99	3807	27
139	98	3812	27
140	97	3819	27
141	96	33	27
142	94	2	27
143	93	1	27
144	92	3818	27
145	91	3815	27
146	90	2	27
147	89	3814	27
148	88	34	27
149	87	3816	27
150	85	2	27
151	84	3816	27
152	83	3816	27
153	82	1	27
154	81	3819	27
155	80	3818	27
156	79	2584	27
157	78	3819	27
158	77	1	27
159	76	3808	27
160	75	3812	27
161	74	3819	27
162	73	3819	27
163	72	3522	27
164	71	3814	27
165	70	33	27
166	69	3819	27
167	68	3818	27
168	67	3815	27
169	66	3818	27
170	65	3819	27
171	64	3815	28
172	63	3819	28
173	62	3816	28
174	61	3819	28
175	60	3809	28
176	59	3818	28
177	58	3819	28
178	57	3809	28
179	56	3816	28
180	55	3819	28
181	54	1	28
182	53	3819	28
183	52	3819	28
184	51	3818	28
185	50	3229	28
186	49	3818	28
187	48	3819	28
188	47	1	28
189	46	3816	28
190	45	3820	28
191	44	3819	28
192	43	3818	28
193	42	3815	28
194	41	3808	28
195	40	3820	28
196	39	3818	28
197	38	3814	28
198	37	3814	28
199	36	3812	28
200	35	3291	28
201	34	3819	28
202	33	3818	28
203	32	3810	28
204	31	3819	28
205	30	3819	28
206	29	3820	28
207	28	3819	28
208	27	3818	28
209	26	2	28
210	25	3819	28
211	24	3819	28
212	23	3820	28
213	22	3816	28
214	21	3809	28
215	20	79	28
216	19	3823	28
217	18	3814	28
218	17	3804	28
219	16	3808	28
220	15	3818	28
221	14	3816	28
222	13	3820	28
223	12	3806	28
224	11	3813	28
225	10	3817	28
226	9	3773	28
227	8	3819	28
228	7	3810	28
229	6	3819	28
230	5	3821	28
231	4	3819	28
232	3	3820	28
233	2	3026	28
234	1	3819	28
235	0	3809	28
